Patient,CON_mean,EXP_mean,COH_mean,CON_std,EXP_std,COH_std
patient001,-0.016053097,0.015915409,0.13665138,0.009942858,0.0096754795,0.07294738
patient002,-0.01826969,0.018017335,0.18047658,0.010000451,0.009566583,0.12627338
patient003,-0.010205735,0.010155678,0.09198567,0.0021247666,0.0021777712,0.038459264
patient004,-0.017856082,0.017706906,0.14799622,0.010853837,0.011218087,0.1103212
patient005,-0.024877984,0.024671327,0.23126031,0.010505554,0.009920934,0.11878214
patient006,-0.013404687,0.013253079,0.0918506,0.0026820146,0.0025960575,0.023638008
patient007,-0.017000891,0.016773589,0.14322115,0.003627181,0.0037311967,0.064895354
patient008,-0.015474538,0.015169309,0.10182046,0.0031514263,0.0031808263,0.03604076
patient009,-0.012003413,0.011852143,0.122186355,0.0035786028,0.0035604134,0.056336466
patient010,-0.010903299,0.010810769,0.09098416,0.002831287,0.0028082766,0.039371397
patient011,-0.018181562,0.017335095,0.17382011,0.003016754,0.0030663835,0.055446755
patient012,-0.015277741,0.015090377,0.16247927,0.007915569,0.0077520716,0.07612109
patient013,-0.014535565,0.014428577,0.13377006,0.0058436794,0.005504159,0.053619843
patient014,-0.016475657,0.016186751,0.14082152,0.0055246837,0.0055305003,0.05716857
patient015,-0.019938499,0.019403253,0.16817856,0.009192135,0.008541484,0.104737505
patient016,-0.017511716,0.01749429,0.12910214,0.0038041815,0.0041029574,0.042981997
patient017,-0.018338412,0.01794376,0.15535471,0.0050260155,0.004955862,0.062441494
patient018,-0.030211635,0.028833663,0.24794509,0.007285741,0.0070883427,0.08525433
patient019,-0.016922373,0.016720844,0.15911765,0.007653498,0.0066216323,0.07778936
patient020,-0.014344383,0.013890301,0.098019,0.0020437953,0.002085292,0.032477163
patient021,-0.009055279,0.008962093,0.098692186,0.005024804,0.004610113,0.077346124
patient022,-0.016938196,0.016607111,0.1328089,0.0070493617,0.0062642703,0.08523708
patient023,-0.018087387,0.017886186,0.1548066,0.010701789,0.010275256,0.091551386
patient024,-0.017315222,0.016853673,0.13699593,0.009243657,0.009088148,0.08717708
patient025,-0.029523065,0.029325057,0.26966685,0.03269614,0.032948192,0.4052572
patient026,-0.017988542,0.017592955,0.14541364,0.007989672,0.007889981,0.06194008
patient027,-0.020785712,0.02057714,0.16826972,0.011367277,0.011203569,0.10855764
patient028,-0.023054311,0.022776451,0.18126272,0.015098758,0.015297856,0.12722452
patient029,-0.038250692,0.038102172,0.39927715,0.044595703,0.043892387,0.63826174
