Patient,Deviation,SpatialVar,TemporalInstability
patient001,0.13698084073785427,0.6618548161147714,0.06374188938857293
patient002,0.11047321840245408,0.4985962204350364,0.060741788820751215
patient003,0.045020937887102534,0.6061131834967688,0.03292808041794815
patient004,0.04190002081691992,0.3849891744514471,0.026738732058722972
patient005,0.15036471577544686,0.623504559871446,0.06315057437070366
patient006,0.03422575098601216,0.20832801793498948,0.012854930365335013
patient007,0.03610570224842123,0.33086386181896427,0.04170148605009936
patient008,0.021213630505806862,0.21467875367035966,0.01695666314959843
patient009,0.08184049704367426,0.3327625307820515,0.03924610154450424
patient010,0.0638052046486871,0.2683769928276808,0.05149725583191703
patient011,0.0639878197871498,0.4274115517623812,0.05021203713323732
patient012,0.1256522000041543,0.7427890767740433,0.08950789271720384
patient013,0.20003873635574496,0.3115709633890249,0.21154254670780215
patient014,0.05338108854242736,0.38882620724169253,0.05325099693266972
patient015,0.13178862234687264,0.5639287524441389,0.10590348745032956
patient016,0.09736541879385548,0.42012232827742146,0.08052177802942266
patient017,0.04949384544733063,0.3531422936668828,0.05385143318580444
patient018,0.03936276262805619,0.39615456396287246,0.030005624183514143
patient019,0.13863499545765548,0.5389248753044111,0.0565097878833286
patient020,0.012022383052869621,0.176243363387503,0.010411585546031416
patient021,0.15028498262533055,0.6159375138760107,0.0697306491747582
patient022,0.10216478385211553,0.2895906752041164,0.056508548427594944
patient023,0.1261982210121721,0.6540326447061022,0.04989815361349648
patient024,0.09407218711056692,0.23189770531159895,0.04433909554179987
patient025,0.15900478344296418,0.5026384884991908,0.08442814865625602
patient026,0.0650762523469782,0.6577286835861867,0.03393146323003732
patient027,0.1313219063074162,0.5525108717139996,0.05593925642560631
patient028,0.14003797775161111,0.6542022210871955,0.05312818111009227
patient029,0.3192785789779112,1.3499305788049123,0.1811163525601104
patient030,0.1270628458065415,0.6432012182708442,0.053019674367468045
patient031,0.1689974767635738,0.5068260709752154,0.07452043284661378
patient032,0.09846895397394191,0.5792077767413921,0.04726252219828401
patient033,0.12688536085308433,0.7108044143785008,0.05529415520251508
patient034,0.10559370850649846,0.43476799090241414,0.053165772011665204
patient035,0.0727961868545867,0.15037174273087858,0.03101740286610004
patient036,0.1604563305377486,0.5256206270758214,0.07264690982898124
patient037,0.1883277557600554,0.2949058087510067,0.2033272652848517
patient038,0.19097649580693868,0.2408241669536313,0.12402309038060617
patient039,0.08273755977187791,0.1574177975832265,0.03466478256328969
patient040,0.1557050801167042,0.18988240839992507,0.0774205951260126
